"h3_id","centroid_lat","centroid_lon","pop_census_2022","pop_ambient_2022"
"89a81009cd3ffff",-23.6195994966287,-46.4532533649902,733.955680358254,30705.3558884662
"89a810153b3ffff",-23.7524917945832,-46.7296552254716,6.07768948758302,4921.50829900023
"89a81000e77ffff",-23.6702310628603,-46.6537535985706,660.024209613673,55374.5349483681
"89a81088d43ffff",-23.9727690405316,-46.6964036524342,0,NA
"89a8100c557ffff",-23.5694018509162,-46.6446542107682,416.421364410023,314943.737554092
"89a8100666fffff",-23.6811922431376,-46.779563942335,720.236893818874,44955.9588794913
"89a81011d4fffff",-23.812390835692,-46.6273414945457,0,200
"89a8100eddbffff",-23.5849484319731,-46.7063226172125,72.7077464999864,101032.245572177
"89a8107708bffff",-23.4600951326785,-46.5832852191709,348.300909616435,29405.6359375173
"89a81017547ffff",-23.8291527868299,-46.7594847031774,1.761512515079,186.465119061297
"89a81000097ffff",-23.7183910705401,-46.6398708346714,36.3004135237432,3146.10945241372
"89a8108de4bffff",-23.8839101979545,-46.7335638209264,12.8621294689248,3363.72431384763
"89a8107699bffff",-23.4142164607982,-46.7106934515969,0.6955059588738,2928.0360306917
"89a81008803ffff",-23.5964840480333,-46.5230034716352,545.776602556144,50170.7335546743
"89a8100588fffff",-23.5793011663076,-46.7612353955798,772.113671610888,39184.0794387875
"89a8100291bffff",-23.7071724549686,-46.716066262858,0.07448119983622,11703.9431095879
"89a810762abffff",-23.4517032409185,-46.6320043479161,165.788197637128,10566.0127215159
"89a81073337ffff",-23.5094626566775,-46.4439135858357,392.191642410656,35407.9295916351
"89a8108d06bffff",-23.9105837926669,-46.7190495145701,2.04500331910123,NA
"89a810449d7ffff",-23.5242072669907,-46.3892250507877,1064.71596127694,16115.8060614367
"89a8100d90bffff",-23.4935659526795,-46.6240558825284,804.505646033108,81103.061035253
"89a81072c47ffff",-23.5175803273782,-46.535997406789,692.13250069314,46584.3405358683
"89a81001b3bffff",-23.6307228073052,-46.6127924969949,779.144449938408,59416.205249269
"89a81013103ffff",-23.892431316204,-46.6176586899243,0.928196506472152,NA
"89a8101018fffff",-23.8520828352764,-46.6621984504645,2.19051337700499,199.999999999994
"89a8100d21bffff",-23.5435176223105,-46.5398192110547,441.577466488621,51976.044733476
"89a81072557ffff",-23.5538344404832,-46.515630106364,415.404246781763,40004.4070682214
"89a81007333ffff",-23.6475675505864,-46.7449022211331,793.393033013166,63344.5901870055
"89a8103b48bffff",-23.549794733911,-46.7358816520863,388.389419236115,50578.27584199
"89a81015987ffff",-23.7190132826704,-46.7898660657433,0.563188440619866,8254.0846589102
"89a81012a13ffff",-23.8603905951688,-46.6808161540725,4.18935535604099,1590.9818975093
"89a8108c28bffff",-23.9235343416032,-46.7684213108579,1.98242470202076,NA
"89a8100cb2bffff",-23.4851630093881,-46.6727716658055,701.299671826709,49411.3005955561
"89a81009bb7ffff",-23.569716724548,-46.4701683622001,258.231139343081,25548.889781696
"89a81015297ffff",-23.7689328304914,-46.7056551751741,575.262762219742,19501.20223901
"89a81000d5bffff",-23.6749307182719,-46.6845023759967,438.583580495596,64277.4922260323
"89a81012323ffff",-23.8840143647323,-46.6662074226803,0.325633641029926,199.99999999999
"89a8100f3afffff",-23.5808592370216,-46.5960180079348,182.835001186566,65191.0989019906
"89a81088c27ffff",-23.9774885066503,-46.6934817582732,0,NA
"89a8100c43bffff",-23.5760998765108,-46.6326089315909,633.887994695792,160115.171080766
"89a81071087ffff",-23.4890753379923,-46.4188241217805,674.934626323565,34757.953236947
"89a81005e63ffff",-23.5790620708538,-46.7336893052123,486.934761216979,51225.436252814
"89a8101742bffff",-23.8358418683717,-46.7474394638597,2.11322947603502,1606.92499631358
"89a810144b7ffff",-23.8015781189849,-46.798122235197,0.384760246470897,NA
"89a8100e5cfffff",-23.6251073591568,-46.6677242704406,879.449691100335,144341.312058932
"89a810398cbffff",-23.4295534033395,-46.7445579569367,6.13244440471097,16013.5334315946
"89a81010e53ffff",-23.8282068658643,-46.6492432823039,0.855666019065364,199.999999999998
"89a8107618fffff",-23.4544683127855,-46.671865948209,935.705519352404,34355.164295276
"89a8107321bffff",-23.5278522333082,-46.4107670908733,616.586658135175,39824.1388481606
"89a81005083ffff",-23.6272752486007,-46.7198177708229,830.621055097334,102873.479436499
"89a810391dbffff",-23.4658601384875,-46.7242171210259,110.906638959905,26485.2178979059
"89a8100210fffff",-23.7472804042016,-46.677462037783,637.230374577162,24500.2127639134
"89a8102a497ffff",-23.4099315162795,-46.8020950686652,0.167459969513245,3361.87561706785
"89a81010073ffff",-23.854892725363,-46.6347233000636,4.71370969823012,NA
"89a810753afffff",-23.3777165342372,-46.5686267999738,0.017112705287051,400.000000000046
"89a8107243bffff",-23.5605246863326,-46.5035795731239,465.610320701934,52843.3795367515
"89a81007217ffff",-23.6640280329591,-46.7209076139864,45.3544245754128,48957.9064541161
"89a8103b36fffff",-23.4901252010136,-46.7310543680731,323.416661891669,43193.0086663554
"89a8101586bffff",-23.7160134002711,-46.7561172407795,19.9122106476068,6660.6977214123
"89a8108c16fffff",-23.9048809662304,-46.8075944510125,1.42597090028673,NA
"89a8100ca0fffff",-23.5016408824509,-46.6487766082303,215.436697284225,59400.4027405249
"89a81009a9bffff",-23.5881005188374,-46.4370217201052,320.5695305666,14268.9078619995
"89a8101517bffff",-23.7522040661084,-46.7357684243901,0.405546292018641,1694.32053245315
"89a81012207ffff",-23.9004249741617,-46.6421964563373,0.659057399873226,NA
"89a81077543ffff",-23.4626038314473,-46.5956010457094,680.353692593675,42430.9266170183
"89a81088b0bffff",-23.9414485625936,-46.6801611860784,0.432604747157051,NA
"89a810093abffff",-23.6117820049579,-46.4224006099414,179.871557942988,15136.351529784
"89a8107165bffff",-23.4954581496959,-46.3792022676292,615.786976547527,30204.1680548966
"89a8100054fffff",-23.7150465553255,-46.6458947671794,13.2641115336333,4610.04385860136
"89a8100eba3ffff",-23.546769168546,-46.7021325082437,242.998003323296,94734.6953711752
"89a81076e53ffff",-23.4304713798781,-46.6589189814963,0,676.791323133142
"89a81005d47ffff",-23.5817896679405,-46.7735482512579,443.613673344752,30098.2356255302
"89a8101730fffff",-23.7977832754309,-46.7432456452501,323.339296402697,11022.949627054
